full_pre_entailment,full_hy_entailment,full_pre_neutral,full_hy_neutral,full_pre_contradiction,full_hy_contradiction,hard_pre_entailment,hard_hy_entailment,hard_pre_neutral,hard_hy_neutral,hard_pre_contradiction,hard_hy_contradiction
"('box', 0.1563982053158922)","('stands', 0.39480922876089053)","('plaid', 0.16940968028942444)","('got', 0.7550009546281079)","('new', 0.11575453278618301)","('swimming', 0.660014932638411)","('crowd', 0.29637420848654916)","('lady', 0.10114924685668665)","('walks', 0.13541690325745273)","('man', 0.052571918962349716)","('like', 0.222492122938712)","('food', 0.0438003341953361)"
"('umbrella', 0.1563982053158922)","('jumping', 0.39480922876089036)","('items', 0.16509001914490815)","('mother', 0.7531230198039078)","('military', 0.11575453278618301)","('drinks', 0.6348789593668688)","('jeans', 0.295305261297644)","('walking', 0.09603414618991614)","('several', 0.13541690325745273)","('people', 0.051851824911410625)","('back', 0.2191532216731974)","('girls', 0.03556983505882062)"
"('prepares', 0.1563982053158922)","('paper', 0.39480922876089036)","('six', 0.1610414306189078)","('local', 0.7514983240769056)","('box', 0.11575453278618301)","('cafe', 0.6348789593668688)","('shorts', 0.2783557029838709)","('play', 0.09603414618991614)","('picture', 0.11771732615805172)","('talking', 0.051535419276750614)","('stage', 0.2081033854866124)","('near', 0.030896929359428196)"
"('wood', 0.1563982053158922)","('hand', 0.39480922876089036)","('chair', 0.1610414306189078)","('daughter', 0.7467250453242481)","('uniform', 0.11390096413686004)","('home', 0.6129000526480936)","('ball', 0.259487218679488)","('white', 0.07833456909051532)","('building', 0.10151535158177154)","('guy', 0.04580474456776571)","('posing', 0.2081033854866124)","('people', 0.027046850999244382)"
"('race', 0.15186305015050094)","('seated', 0.39480922876089036)","('catch', 0.1610414306189078)","('big', 0.7436242676459998)","('mouth', 0.11300349941429308)","('sits', 0.5707837989104685)","('background', 0.25661571634746494)","('holding', 0.07833456909051532)","('playing', 0.09969882065537351)","('watching', 0.04580474456776571)","('wooden', 0.19519998065070457)","('walks', 0.02578182869265787)"
"('blond', 0.14349480047998436)","('coat', 0.39480922876089036)","('waiting', 0.1584806097572342)","('waiting', 0.7290254682248474)","('many', 0.11262463977725536)","('fire', 0.5620416354146024)","('floor', 0.25018482601717434)","('talking', 0.060942826378646)","('chair', 0.08662673908802063)","('woman', 0.04466253998898857)","('bicycle', 0.19519998065070457)","('park', 0.02578182869265787)"
"('kitchen', 0.14349480047998436)","('stage', 0.3741899415581548)","('guys', 0.15366132332128526)","('enjoying', 0.7290254682248472)","('day', 0.11262463977725536)","('throwing', 0.55681058599705)","('player', 0.24326438317260066)","('group', 0.0530167611062254)","('posing', 0.08662673908802063)","('men', 0.03502561031293868)","('middle', 0.1863633988502064)","('woman', 0.02303834274690697)"
"('sleeping', 0.14349480047998436)","('water', 0.3736070211102873)","('younger', 0.15366132332128526)","('swim', 0.7290254682248472)","('station', 0.10878586347008966)","('sitting', 0.5495501475205734)","('colorful', 0.23835036837017176)","('kids', 0.05113882628202533)","('sits', 0.08217238873864062)","('standing', 0.02844478370528484)","('room', 0.17504252322572422)","('man', 0.017152106932796715)"
"('painted', 0.14349480047998436)","('holds', 0.36741025457277593)","('rides', 0.15366132332128526)","('business', 0.7290254682248472)","('someone', 0.10878586347008966)","('watching', 0.5475369492117207)","('dog', 0.22841102646761366)","('child', 0.0390174657496806)","('carrying', 0.08217238873864062)","('front', 0.017633867601069393)","('market', 0.17301206567534233)","('old', 0.013947371045654938)"
"('appears', 0.14349480047998436)","('jumps', 0.35398723424063516)","('blanket', 0.15366132332128526)","('construction', 0.711633725512978)","('appears', 0.10878586347008966)","('lunch', 0.5395687795625439)","('field', 0.22616994981330069)","('girl', 0.03400994401905817)","('snow', 0.07735310230269146)","('food', 0.017633867601069393)","('pants', 0.1719003368226519)","('person', 0.01085617847598215)"
"('says', 0.13887585462368995)","('racing', 0.3503574661900567)","('suits', 0.15366132332128526)","('son', 0.711633725512978)","('line', 0.10752403364966769)","('dancing', 0.5326483367179701)","('male', 0.22486701803288442)","('shirt', 0.027041274702964684)","('near', 0.07479228144101807)","('old', 0.017633867601069175)","('cap', 0.16442832198395077)","('next', -0.015040165827597252)"
"('boots', 0.13887585462368995)","('walks', 0.34899969272959624)","('cream', 0.15366132332128526)","('practicing', 0.7096073823677457)","('bicycle', 0.10699535269630149)","('lying', 0.5295184437090427)","('blue', 0.22410511323412288)","('two', 0.009649531991095512)","('purple', 0.07479228144101788)","('playing', 0.004646672074258301)","('guitar', 0.15461470053562615)","('dogs', -0.022157633596461106)"
"('flag', 0.13887585462368995)","('hands', 0.34351593437333994)","('wet', 0.15366132332128526)","('good', 0.7037076602405573)","('workers', 0.10570419693268139)","('ocean', 0.5142509715782541)","('getting', 0.2227858518290601)","('street', 0.000723966385591254)","('hair', 0.06892716198861981)","('young', -0.026426122192961293)","('girls', 0.15253353433180175)","('beach', -0.025511465694892682)"
"('skateboard', 0.13776412577099942)","('another', 0.34262347559032025)","('distance', 0.15366132332128526)","('get', 0.699172505075166)","('bright', 0.10570419693268139)","('field', 0.49304876392765096)","('old', 0.20936283149691953)","('boy', -0.022969145871696673)","('talking', 0.055374195583916604)","('boy', -0.032376552973592085)","('lady', 0.15253353433180175)","('large', -0.04321104279429365)"
"('floor', 0.1342781453750604)","('market', 0.34074200749061456)","('police', 0.15366132332128526)","('party', 0.6825054525899541)","('gear', 0.10570419693268139)","('bar', 0.4705759080755924)","('hats', 0.20936283149691953)","('old', -0.03358334711347021)","('men', 0.05484746394150372)","('black', -0.07091952974037564)","('wall', 0.15094497164666382)","('green', -0.04321104279429365)"
"('outdoors', 0.13244496429339944)","('behind', 0.3302707076233193)","('behind', 0.15195045891765574)","('event', 0.6825054525899541)","('african', 0.10285112795027522)","('baseball', 0.46810981558039894)","('hand', 0.20936283149691953)","('food', -0.06826890510136013)","('striped', 0.04840552626782284)","('green', -0.07767631220325545)","('working', 0.14867996501581182)","('water', -0.0638303299970292)"
"('boys', 0.13244496429339944)","('guy', 0.32298349418963485)","('take', 0.14710392277512632)","('getting', 0.6749582469545713)","('soccer', 0.10285112795027522)","('middle', 0.46595696221929794)","('brown', 0.20936283149691953)","('one', -0.06826890510136013)","('asian', 0.04580474456776571)","('wearing', -0.07838078563851925)","('asian', 0.13911051399966093)","('working', -0.06852885077858348)"
