full_pre_entailment,full_hy_entailment,full_pre_neutral,full_hy_neutral,full_pre_contradiction,full_hy_contradiction,hard_pre_entailment,hard_hy_entailment,hard_pre_neutral,hard_hy_neutral,hard_pre_contradiction,hard_hy_contradiction
"('bank', 0.24223705668873186)","('according', 0.4493802666565004)","('grow', 0.31220862649237885)","('favorite', 0.5320132765410739)","('court', 0.18871997595735657)","('anyone', 0.582624261664445)","('better', 0.4205696474483683)","('made', 0.25221042033943125)","('didnt', 0.30114391352085496)","('right', 0.15964435124715562)","('cost', 0.22021686646989927)","('door', 0.6501729945863595)"
"('feet', 0.23482045903368207)","('increased', 0.439329930802999)","('letter', 0.31220862649237885)","('week', 0.5320132765410739)","('wouldnt', 0.17572340313017645)","('involved', 0.5701630412266332)","('data', 0.41520770430698284)","('year', 0.2328861475130282)","('man', 0.2975141454702764)","('still', 0.15964435124715562)","('house', 0.21832113130500042)","('next', 0.6203200314366784)"
"('knowledge', 0.23482045903368207)","('face', 0.40855827213624524)","('painted', 0.3088697252268642)","('due', 0.522588136081491)","('miss', 0.17224513875385158)","('ended', 0.5701630412266332)","('look', 0.40615786878706517)","('around', 0.2328861475130282)","('use', 0.277427386903539)","('new', 0.14414016471119012)","('government', 0.214854923328514)","('pay', 0.5631616175967298)"
"('sometimes', 0.2262367153422906)","('nations', 0.3953130453862245)","('americans', 0.29781988904027923)","('jobs', 0.5032638632550882)","('required', 0.16932542865051686)","('everything', 0.534785202144982)","('way', 0.3870368273402866)","('men', 0.2328861475130282)","('case', 0.2619232003675737)","('first', 0.13717149539509685)","('number', 0.2064866736579973)","('percent', 0.5631616175967298)"
"('comes', 0.2262367153422906)","('works', 0.39053976663356693)","('web', 0.29781988904027923)","('five', 0.4945301832863335)","('mail', 0.16762619289755698)","('decided', 0.5188697468390825)","('bad', 0.3794896217049037)","('enough', 0.2328861475130282)","('school', 0.2549545310514804)","('every', 0.10080385122422217)","('city', 0.2064866736579973)","('street', 0.5631616175967298)"
"('compared', 0.2262367153422906)","('savings', 0.38657936541747007)","('dollar', 0.2876675175762613)","('help', 0.4933557850303919)","('final', 0.16573045773265796)","('arent', 0.5145313452404845)","('mr', 0.3794896217049037)","('cost', 0.2328861475130282)","('economic', 0.2466557282367852)","('time', 0.09684345000812516)","('um', 0.2021482720593993)","('station', 0.5631616175967298)"
"('alternative', 0.2262367153422906)","('likely', 0.3832404641519554)","('added', 0.2849164842043713)","('hours', 0.49119128202081885)","('american', 0.1611953025672666)","('dont', 0.5024868256244284)","('living', 0.37471634295224615)","('may', 0.2328861475130282)","('old', 0.2466557282367852)","('want', 0.08603253390390947)","('sometimes', 0.19159806116424688)","('hold', 0.5631616175967298)"
"('model', 0.2161863794887892)","('comes', 0.3832404641519554)","('truth', 0.2849164842043713)","('many', 0.4851227761844379)","('villages', 0.1611953025672666)","('definitely', 0.49766753918847956)","('million', 0.370755941736149)","('services', 0.21899703535236115)","('im', 0.24018321373116772)","('way', 0.08413679873901042)","('back', 0.1836719958918262)","('dollars', 0.5631616175967298)"
"('plans', 0.2161863794887892)","('standards', 0.3738727141483552)","('certain', 0.28289423882360365)","('better', 0.47728837685182735)","('average', 0.1473061904065994)","('full', 0.47485286142230826)","('must', 0.3620978789930345)","('really', 0.21041329166096961)","('part', 0.22418287238472656)","('think', 0.07533724478716149)","('keep', 0.1836719958918262)","('city', 0.5025369957802949)"
"('okay', 0.2161863794887892)","('provide', 0.3440197509986742)","('lived', 0.2696490120735828)","('day', 0.4682310897393179)","('despite', 0.14484616456573718)","('always', 0.4668563727880818)","('days', 0.3620978789930345)","('told', 0.21041329166096961)","('something', 0.2047647865276252)","('get', 0.07003219255746847)","('probably', 0.15769650948856564)","('asked', 0.4831189099231933)"
"('ten', 0.21396662275047637)","('hand', 0.3440197509986742)","('decision', 0.2696490120735828)","('since', 0.45197056886753756)","('easy', 0.14325760188059933)","('stay', 0.45530826534933794)","('found', 0.35636720428404955)","('best', 0.1884343849421944)","('state', 0.20220396566595147)","('going', 0.0542838355893292)","('mean', 0.15769650948856545)","('try', 0.4831189099231933)"
"('anyway', 0.2104883583741514)","('critics', 0.3440197509986742)","('emergency', 0.2696490120735828)","('worth', 0.45197056886753756)","('job', 0.14214710759657215)","('everyone', 0.44036668535113893)","('five', 0.35351413530164316)","('didnt', 0.18301431747285535)","('yes', 0.20220396566595147)","('never', 0.04650169514727423)","('place', 0.15769650948856545)","('rates', 0.46785143779240496)"
"('mr', 0.20788757667409402)","('americans', 0.3440197509986742)","('head', 0.26656734553617467)","('12', 0.45197056886753756)","('nothing', 0.14214710759657215)","('theres', 0.4235595670347577)","('always', 0.34761441317445485)","('good', 0.17404564749009488)","('pay', 0.19886506440043686)","('like', 0.03448120829314945)","('something', 0.15769650948856545)","('war', 0.46785143779240496)"
"('remember', 0.20681862948518895)","('needed', 0.3440197509986742)","('reason', 0.26272856922900906)","('coming', 0.45197056886753756)","('reform', 0.13587749458297688)","('ancient', 0.4235595670347577)","('go', 0.34144155406737375)","('like', 0.16913163268766584)","('went', 0.19536243384923468)","('two', 0.02351217692257543)","('away', 0.15769650948856545)","('whole', 0.46785143779240496)"
"('table', 0.20425780862351545)","('home', 0.3440197509986741)","('sites', 0.26272856922900906)","('plan', 0.45197056886753756)","('getting', 0.13587749458297688)","('little', 0.4235595670347577)","('times', 0.32819632731735315)","('help', 0.161142242654187)","('see', 0.18781522821385177)","('would', 0.012212621668642199)","('tommy', 0.15769650948856526)","('shows', 0.46785143779240496)"
"('methods', 0.20425780862351545)","('moved', 0.3440197509986741)","('making', 0.26272856922900906)","('usually', 0.45197056886753756)","('allow', 0.13587749458297688)","('areas', 0.4235595670347577)","('want', 0.32819632731735315)","('one', 0.15785096157011422)","('information', 0.18162325796593065)","('didnt', -0.010855466581632226)","('really', 0.1487278395058052)","('water', 0.46785143779240496)"
"('emissions', 0.2009189073580008)","('mr', 0.3440197509986741)","('heard', 0.2541448255376177)","('weeks', 0.45197056886753756)","('texas', 0.13587749458297688)","('pay', 0.40294027983202196)","('country', 0.32819632731735315)","('want', 0.15230566085368882)","('theres', 0.18069776044498784)","('one', -0.016431689209068498)","('also', 0.14330777203646589)","('left', 0.45780110193890344)"
"('worth', 0.2009189073580008)","('dollars', 0.3440197509986741)","('benefits', 0.2512998734053863)","('world', 0.45197056886753756)","('temple', 0.13587749458297668)","('idea', 0.3884682472234876)","('several', 0.32819632731735315)","('times', 0.14587477052339864)","('available', 0.17491182337794392)","('place', -0.029597648391372893)","('first', 0.14194815252042614)","('everyone', 0.45780110193890344)"
"('older', 0.2009189073580008)","('john', 0.3440197509986741)","('longer', 0.2471761562215243)","('ones', 0.45197056886753756)","('several', 0.1293200940368177)","('wont', 0.37476940286532584)","('much', 0.32819632731735315)","('work', 0.14587477052339848)","('feel', 0.17491182337794392)","('great', -0.06349920006705417)","('may', 0.14116720753735482)","('done', 0.44537858194034635)"
"('developed', 0.2009189073580008)","('wouldnt', 0.3440197509986741)","('empire', 0.2471761562215243)","('best', 0.4373717694463849)","('low', 0.126308043566826)","('bring', 0.37476940286532584)","('week', 0.32819632731735315)","('man', 0.1184757963352841)","('home', 0.16607524157744596)","('could', -0.0634992000670543)","('day', 0.1357176027697902)","('built', 0.4233996752215711)"
"('audit', 0.2009189073580008)","('national', 0.3440197509986741)","('bar', 0.2471761562215243)","('every', 0.4373717694463849)","('effort', 0.126308043566826)","('without', 0.366401153194809)","('although', 0.32819632731735315)","('used', 0.1184757963352841)","('though', 0.15964435124715542)","('make', -0.0634992000670543)","('state', 0.1357176027697902)","('take', 0.3988585663054533)"
"('main', 0.1988377411541761)","('related', 0.3440197509986741)","('addition', 0.2471761562215243)","('country', 0.42949771301547907)","('hundred', 0.126308043566826)","('high', 0.33900217900669466)","('city', 0.32819632731735315)","('much', 0.1050527760031434)","('high', 0.15475436595296382)","('well', -0.0634992000670543)","('little', 0.12644396598446112)","('high', 0.3913113606700707)"
"('subject', 0.1988377411541761)","('getting', 0.3112299281756833)","('hell', 0.2471761562215243)","('days', 0.421198910200784)","('auditors', 0.126308043566826)","('cannot', 0.336548190045128)","('major', 0.32819632731735315)","('get', 0.09708460635396664)","('money', 0.14129521257895897)","('years', -0.08547810678582951)","('service', 0.12490668666557438)","('rock', 0.3808400608027753)"
"('data', 0.19806583837559416)","('technology', 0.308928431187404)","('james', 0.2471761562215243)","('watch', 0.41687924905626744)","('mrs', 0.1234549745844197)","('life', 0.3339474083450706)","('never', 0.32819632731735315)","('go', 0.08307386928436808)","('back', 0.13836695279987082)","('go', -0.1544709782727811)","('national', 0.09315798835099433)","('known', 0.3808400608027753)"
"('2000', 0.18986907117141594)","('using', 0.30627942301582706)","('school', 0.24321575500542733)","('given', 0.4142302408846905)","('voice', 0.1234549745844197)","('spent', 0.3282493872304329)","('lot', 0.32819632731735315)","('well', 0.07688189903644685)","('small', 0.13717149539509685)","('much', -0.16885971572488057)","('got', 0.08467137447367566)","('million', 0.3808400608027753)"
"('chance', 0.18986907117141594)","('agency', 0.2995679884278403)","('havent', 0.22882701755332782)","('difficult', 0.4142302408846905)","('edge', 0.1234549745844197)","('museum', 0.3143602750697657)","('however', 0.32819632731735315)","('legal', 0.07226295318015241)","('programs', 0.13717149539509685)","('man', -0.17790955124479832)","('two', 0.0835885373348436)","('theyre', 0.3690056031557722)"
"('net', 0.18986907117141594)","('art', 0.2995679884278403)","('youve', 0.22882701755332782)","('problem', 0.4142302408846905)","('entities', 0.1234549745844197)","('matter', 0.30577653137837424)","('since', 0.32819632731735315)","('way', 0.07036721801525331)","('care', 0.13432654326286578)","('see', -0.24582075686100896)","('used', 0.0835885373348436)","('government', 0.3400180662825199)"
"('federal', 0.18683416747626166)","('another', 0.29522958682924205)","('instead', 0.22882701755332782)","('poor', 0.40751880629670373)","('force', 0.1234549745844197)","('current', 0.30577653137837424)","('feel', 0.32819632731735315)","('last', 0.05993234072267385)","('costs', 0.11882235672690036)","('people', -0.26416989552920533)","('years', 0.0827952013154477)","('small', 0.3400180662825199)"
"('standards', 0.18495505636898676)","('real', 0.29522958682924205)","('gets', 0.22882701755332782)","('gets', 0.40751880629670373)","('participants', 0.1234549745844197)","('attention', 0.2957261955248728)","('include', 0.32819632731735315)","('two', 0.0097425961988184)","('might', 0.10712631696370918)","('year', -0.2641698955292055)","('never', 0.08132353070399126)","('taking', 0.3400180662825199)"
"('current', 0.18275160340255175)","('saving', 0.2927264566111237)","('list', 0.22882701755332782)","('tried', 0.40751880629670373)","('company', 0.1234549745844197)","('water', 0.29350643878655985)","('men', 0.32819632731735315)","('long', 0.0097425961988184)","('um', 0.10355488459611192)","('said', -0.28664275138126394)","('would', 0.07922489404707028)","('years', 0.3180391595637447)"
"('increased', 0.17971669970739781)","('took', 0.28793028434763046)","('half', 0.22882701755332782)","('lived', 0.4031804046981056)","('approaches', 0.1234549745844197)","('easy', 0.26940888720749945)","('food', 0.32819632731735315)","('great', 0.0097425961988184)","('place', 0.10355488459611192)","('us', -0.29175785204803445)","('dont', 0.06417045147774197)","('took', 0.3180391595637447)"
"('critics', 0.17971669970739781)","('large', 0.2716990894190481)","('sir', 0.22882701755332782)","('talking', 0.4031804046981056)","('funds', 0.1234549745844197)","('left', 0.2694088872074993)","('work', 0.2856367128985573)","('im', 0.0027739268827252244)","('could', 0.10182478035832924)","('good', -0.3046612568839423)","('like', 0.05415583054772508)","('us', 0.30892747921248886)"
